Country,Property Type,Size Factor,Price Factor,Bathroom Factor,Building Age Factor,Density vs. Modernity Factor
Turkey,apartment,0.6878278642991608,1.2185149608725283,1.5935936417809775,-0.3033567565091066,2.0412806525961797
Turkey,villa,3.406847875788313,0.85255498310353,-0.5858586647927551,0.4067057464812902,-0.006320953643274
Turkey,apartment,-1.458000001186612,0.056529429449708,-1.0715977040779634,-0.1333575758831252,0.5346522355575053
Thailand,apartment,-2.589317992142206,-0.1349227212657124,-0.0370667316885488,0.4429457093301128,-0.5088842512425716
Thailand,apartment,-0.9762480395018056,-0.9562917691828694,0.3135523450819958,1.138272636986803,-0.2946531638910856
Georgia,apartment,-2.877376941334646,-1.325576485634428,-0.4115522935177599,0.5097523826531773,0.8424719757050367
Turkey,apartment,2.4777331747639195,0.3252017066945516,2.9072114845126524,0.1305361472589276,0.9369485503764616
Thailand,apartment,-2.5609630143677125,-1.776443296884798,-0.3010554563962423,0.8143242254258447,0.8582863232275479
Montenegro,apartment,-0.8429986691997418,0.3415189605537879,-0.1323112168264652,0.3694858914130449,-0.5615038259727955
Montenegro,apartment,-2.9230481717720678,1.5617055462921403,-0.6999896367865348,-0.5449804498526483,-0.7732616974816936
Northern Cyprus,apartment,-0.1206709168757889,0.2448074641437989,0.9674258187937784,-0.6596485979661028,3.0865315684510297
Montenegro,apartment,-0.5658976466734346,1.0917685244458857,-1.0561074313541503,-0.5438019631551311,-0.0371408870151593
Lithuania,house,3.014854384196668,0.2349657170534772,-0.178830411482377,-0.3907205269196138,-0.6795610350637125
Belarus,house,1.9761644245707972,-0.5584614804606014,-0.0703873959660549,0.8175245807565745,0.0643732137995481
UAE,apartment,-2.9641236806307933,-0.1968034044679076,-1.1869038709721371,-0.2261024690748327,0.8995888645639882
Czech Republic,apartment,0.1635040942950117,0.994044285517355,-1.0519489733988758,-0.2911597290644928,0.00089698594675
Uzbekistan,apartment,-1.672687238485222,-1.106121314989046,-1.1586774976082967,-0.045961803915841,1.1994901091597017
Turkey,apartment,0.7769121645708804,1.3150273940065949,2.5911725529600487,0.3848478701708841,0.9343746348029058
Thailand,apartment,-3.033709742595672,-0.9145720851244638,-0.5556116936237216,0.3349284699896069,0.7703599031797445
Thailand,apartment,-3.033709742595672,-0.9145720851244638,-0.5556116936237216,0.3349284699896069,0.7703599031797445
Montenegro,apartment,1.3707818827525708,1.17042160705038,2.806895526477197,0.478009722789815,0.7955480520129521
Turkey,apartment,-0.7067782727969125,1.2068047367021342,-0.5987026612919353,-0.0767291057952807,-0.5098598457999216
Montenegro,apartment,-1.3391585492519285,1.2315984048097857,-1.0634653204350053,-0.6152741222019003,0.0081071905374577
Belarus,apartment,-0.2481264215024727,-1.748396700746537,0.6908263250769557,-2.35959148361878,-1.399717349503896
Thailand,apartment,-3.1406559270033134,-0.7699555370772494,-0.5205016617395549,0.3176492481093328,0.6501627732455567
Thailand,apartment,-2.8922686883605486,-0.9703897051340764,-0.3098295006869365,0.5323455467743884,0.220504267386388
Belarus,apartment,-0.5551410063061752,-0.1002145660591823,0.1830710907779751,0.3489883370761801,-0.7282418462823869
Thailand,apartment,-3.526004564110728,-0.7905681757470928,-0.3797706014847524,0.3400837653010068,0.14542674093907
Montenegro,apartment,-0.97303560121109,0.5550228648571854,-0.4535017900291386,-0.1973481808421572,-0.301214007001488
Montenegro,apartment,-1.014183479719081,0.4677307580379575,-0.4035601286828909,0.1645989339825506,-0.2191309538771564
Montenegro,apartment,-0.7752130913071615,1.6657220655054523,1.9310319702068328,-0.4314805854246915,1.4668751153401334
Montenegro,apartment,-1.0289779035603286,0.8342233482181859,-0.6434226355495599,-0.1231393282479612,-0.1757029463040402
Montenegro,apartment,-0.439653532919435,1.4836156393703417,2.2116073244926704,-0.4082628187776072,1.2210755444555847
Montenegro,apartment,-0.8170246455441059,0.715094389616967,-0.4527997671830352,0.097259157884901,-0.2861044069778571
Montenegro,apartment,-0.7154630993708353,1.084724152628466,-0.5330487007885025,-0.1175285443149923,-0.5466633557031992
Montenegro,apartment,-0.5343141256983354,1.3299026005097372,1.6676741842986715,-0.6694143929077553,1.871083849484844
Montenegro,apartment,1.5551061485355129,0.5090285619033723,0.363098562245667,0.9253188255665316,-1.0336980905405038
Montenegro,apartment,1.309926467218774,0.8238513950458926,1.1869784977300966,-0.656686742165403,2.6207330221123755
Turkey,apartment,-0.1367073354289948,0.8737356760192628,-0.0745741453921692,0.5898365114770897,-0.7937262770191306
Turkey,apartment,0.0928395050146489,0.7450988393419826,0.1316304810296791,0.8282401807093789,-0.9132536612806974
Turkey,villa,2.8078366280951523,-0.6164002214888556,0.0277874859873305,1.3492740655556863,0.1686070559723868
Thailand,apartment,-3.511443838815794,-0.8580802072338869,-0.7636061971595063,0.1388551556888521,0.7786305345613485
Thailand,apartment,-3.528193659413993,-0.814703376056161,-0.800152781515525,0.0956131841859894,0.7907423665783606
Thailand,apartment,-2.165486662595462,-1.671503766309658,-0.9764715676707552,0.2676451977556255,1.6600370352681717
Montenegro,apartment,-1.1086702721490205,0.8784901340599423,-0.7147632660753898,-0.2056081564714804,-0.134245353635154
Montenegro,apartment,-2.205789530042995,0.3811818775821162,-0.8647604117194174,-0.5170353276135163,0.1806680798449332
Montenegro,apartment,-0.8795562150981473,0.963430314470153,-0.6438867013721215,-0.1298713505078562,-0.2322712345038411
Montenegro,apartment,-1.0811908856587955,1.647761040180916,1.7554607449016666,-0.9901513407160264,1.52131389670532
Montenegro,apartment,-0.0390963385194494,1.2657221815995343,-0.4279361844771763,-0.0014771930296593,-0.6248351357495162
Montenegro,apartment,-0.8410509866696555,0.9684680152650332,-0.8456922377723758,-0.2981139916835705,-0.0306006307090602
Montenegro,apartment,-0.5426395308826716,1.757045991475698,2.098069927746969,-0.3544070675875614,1.1176627749248425
Montenegro,apartment,-0.9313120940476064,0.7420599405213127,-0.5320112897869786,0.0067577122358731,-0.2302918153238237
Montenegro,apartment,-0.7900910716446268,1.7368164489248463,1.877971480147009,-0.4946522725716595,1.4808811351145923
Turkey,apartment,-0.4846454612143466,1.0741681492948212,-0.3905785588857791,0.2243296115582254,-0.6120076727259423
Turkey,apartment,1.758984497744521,-0.0582291316524652,-0.886979574580566,0.3161616275661587,0.491703258206837
Uzbekistan,apartment,-1.5708833539227156,0.7703485784179369,2.3161923919242504,0.0842764367791963,1.2474521983739124
Uzbekistan,apartment,-1.883884520466777,0.4541835685302261,-0.8821737198842328,-0.1821797233686438,0.0879941789422631
Thailand,apartment,-1.6498041500099423,-0.8043507659682233,-0.3250157108452393,0.090649652429295,0.12680249183011
Thailand,apartment,-3.214509683308278,-0.79524595658724,-0.5446707388975826,0.2916469860503269,0.6819695794888251
Thailand,apartment,-3.183254178779544,-0.8097904232823645,-0.5184723448575095,0.3218493455095864,0.6659906516421807
Montenegro,apartment,-0.1069181513938789,1.5063416341938016,2.345371103839864,-0.0574806501842591,1.108293421378484
Montenegro,apartment,-1.1468768446337378,0.6646118547993058,-0.6002580194944442,-0.0663775236628985,-0.1378167429964043
Montenegro,apartment,-1.0557901369270544,0.6293783563026294,-0.5284343924891024,0.0162011254165106,-0.1836697557939718
Montenegro,apartment,0.2335451266197466,1.6611762248739714,2.5099786125849355,0.0365117285732266,0.768541589904281
Montenegro,apartment,-0.9322602609947837,1.566159513910988,1.90859810526476,-0.4519602193497377,1.5299443713429686
Montenegro,apartment,-0.5072802840659543,1.610841985332028,2.2097780160119034,-0.2215787284729743,1.086645750088597
Montenegro,apartment,-0.4782875609659234,0.2026602789273953,0.0555499745047358,0.6943735822375697,-0.4946627864632865
Turkey,apartment,-0.263423840852407,0.8189928160558925,-0.3284221570304813,0.3658577636447215,-0.521219271583912
Uzbekistan,apartment,-2.5125160352616063,0.1501190779535622,-0.3371610892104604,0.25812525541764,-0.3327979602140171
Uzbekistan,apartment,-1.6241488787623206,-0.601387965936358,-0.3091218630815392,0.5769755604285768,0.1076746112668051
Turkey,apartment,-1.467421770519489,0.9648153756063742,-1.5240773211471657,-0.8436126597629529,0.4717751475768632
Thailand,apartment,-2.154222487103828,-1.4177079359671496,-1.1377210882708348,-0.0467486803461837,1.65144816741633
Turkey,apartment,0.3872751886964546,1.3692962478019906,2.860413420874339,0.6068488863753487,0.6361568145781844
Montenegro,apartment,-0.7233653667545856,0.7117365488100427,-0.3014214533123325,0.1612475172377702,-0.5801892333998768
Turkey,apartment,0.3133620298488453,0.2636693737894831,-0.5858504687158657,0.3527876151579702,0.0553367290759552
Montenegro,apartment,-2.566231284422629,0.4955957948474184,-1.1160511311401775,-0.5040198604852582,0.4312825140665873
Montenegro,apartment,-0.3248872540521615,1.7262341796981355,2.313367605899673,-0.1944073294569184,0.8164346653150656
Montenegro,apartment,-0.9330006745238552,1.0759372638060232,-0.6457987023948814,-0.2440813176171612,-0.4464234062253699
Montenegro,apartment,-0.8828134882496049,1.1115667607787227,-0.7393585083881314,-0.2445077452809454,-0.2159831607240999
